stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\meus programas\jogo final\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.07132] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07145] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07152] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07159] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07171] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07178] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07240] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07245] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07249] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07253] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07260] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07273] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07281] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07285] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07293] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07297] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07303] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07312] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07319] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07334] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07339] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07343] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07347] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07351] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07354] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07363] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07368] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07371] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07375] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07379] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07383] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07387] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07391] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07395] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07399] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07403] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07407] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07411] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07415] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07419] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07423] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07426] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07430] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07434] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07438] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07442] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07446] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07450] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07454] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07460] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07464] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07468] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07472] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07475] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07479] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07483] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07488] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07492] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07496] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07500] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07504] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07507] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07511] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07515] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07519] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07534] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07538] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07542] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07546] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07550] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07553] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07558] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07561] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07565] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07569] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07573] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07577] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07581] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.07586] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.07636] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.07645] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.54219] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.75139] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.75148] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.75161] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.75170] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.75178] Returning d3d_display: 0000000000f482e0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.75182] al_display=0000000000f482e0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.75187] al_display->vt=0000000002703da0
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.75233] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.75239] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.75357] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.75367] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.75379] added dtor for queue 0000000002708570, func 00007ffd7217cc4e
dtor     D               dtor.c:196  _al_register_destructor          [   0.75390] added dtor for bitmap 0000000002708640, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.75533] added dtor for bitmap 0000000002722300, func 00007ffd72151bf8
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75948] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75955] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75962] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75968] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75971] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75975] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75978] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75982] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.75986] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.75990] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.75993] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.75998] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.76002] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.76067] added dtor for bitmap 000000000273c2d0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76190] added dtor for sub_bitmap 000000000276fa90, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76203] added dtor for sub_bitmap 000000000276fc50, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76215] added dtor for sub_bitmap 000000000276fe10, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76220] added dtor for sub_bitmap 000000000276ffd0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76228] added dtor for sub_bitmap 0000000002770190, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76233] added dtor for sub_bitmap 0000000002770350, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76238] added dtor for sub_bitmap 0000000002770510, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76246] added dtor for sub_bitmap 00000000027706d0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76252] added dtor for sub_bitmap 0000000002770890, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76259] added dtor for sub_bitmap 0000000002770a50, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76265] added dtor for sub_bitmap 0000000002770c10, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76270] added dtor for sub_bitmap 0000000002770dd0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76280] added dtor for sub_bitmap 0000000002770f90, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76286] added dtor for sub_bitmap 0000000002771150, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76295] added dtor for sub_bitmap 0000000002771520, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76306] added dtor for sub_bitmap 0000000002771de0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76316] added dtor for sub_bitmap 00000000027718a0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76322] added dtor for sub_bitmap 0000000002771fa0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76330] added dtor for sub_bitmap 0000000002771a60, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76337] added dtor for sub_bitmap 0000000002771360, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76345] added dtor for sub_bitmap 0000000002771c20, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76353] added dtor for sub_bitmap 00000000027716e0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76362] added dtor for sub_bitmap 00000000027736b0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76369] added dtor for sub_bitmap 00000000027734f0, func 00007ffd72151bf8
